id,created_at,text,favorite_count,retweet_count,truncated
1.25564E+18,Wed Apr 29 23:38:42 +0000 2020,"RT @DisneyMusic: For today's #DisneySingalong, the original voice of Meg, @iamsusanegan, sings ""I Wont Say"" from #Hercules #StayAtHome http…",0,1242,FALSE
1.25564E+18,Wed Apr 29 23:38:41 +0000 2020,"RT @KNSMOH: #COVID19KN Update as at 12:05am 30th April 2020
•24 New #COVID19KN cases confirmed.
•Total confirmed cases in @KanostateNg are…",0,63,FALSE
1.25564E+18,Wed Apr 29 23:38:34 +0000 2020,"RT @YoungKev_Arts: Art Vs Reference

#artvsartist #artvsartist2020 #digitalart #StayAtHome https://t.co/AXuTkKUuEK",0,71,FALSE
1.25564E+18,Wed Apr 29 23:38:33 +0000 2020,"RT @ninscrystal: Everything you see has its roots in the unseen World. The forces change, yet the essence remains the same. 

 ~ Rumi 

 🕊…",0,93,FALSE
1.25564E+18,Wed Apr 29 23:38:30 +0000 2020,"80% OFF WITH CODE : 80ZZ1119

#LightningDeal #slickdeals #coupon #discount #code #dealsplus #amazon  #sale… https://t.co/v39DjTuEO1",1,0,TRUE
1.25564E+18,Wed Apr 29 23:38:30 +0000 2020,#stayathome #BeatBordom #KeepBusy This adult #coloringbook is a wonderful way to show your love of flowers while yo… https://t.co/dKepWbJGpP,0,0,TRUE
1.25564E+18,Wed Apr 29 23:38:29 +0000 2020,"RT @BamaiyiDanladi: If U Like This This Painting, Help Me Retweet 
#Please #SaySafe #CoronaVirusIsReal.
#CBN #Ncdc #Covid19 #Stayathome. ht…",0,220,FALSE
1.25564E+18,Wed Apr 29 23:38:27 +0000 2020,"RT @PSG_inside: 🎥 𝔹𝕖𝕤𝕥 𝕠𝕗 @KMbappe 
 
1⃣ minute de 𝘱𝘶𝘳 bonheur 🤩

#StayAtHome https://t.co/ZeMun1Khy9",0,430,FALSE
1.25564E+18,Wed Apr 29 23:38:13 +0000 2020,RT @abc15: #BREAKING: Arizona will extend #StayAtHome order with modifications to May 15. LIVE VIDEO: https://t.co/oBdgSFLiHY #abc15 https:…,0,87,FALSE
1.25564E+18,Wed Apr 29 23:38:07 +0000 2020,RT @UnimpressedTX: @fakastler @staceewell @22AngieMarie22 @HockeyFanGirl12 @marthamaccallum @BretBaier @waconia3 @marthaj44 @JaybeeStewee @…,0,5,FALSE
1.25564E+18,Wed Apr 29 23:38:04 +0000 2020,#BonAppétit...My mom did the honors of making #dinner this evening 😋 The only thing I contributed was the… https://t.co/plaiEGTpjS,2,0,TRUE
1.25564E+18,Wed Apr 29 23:37:58 +0000 2020,"RT @GretaThunberg: School strike week 88.
Today we had planned a global climate strike with millions taking part. But in an emergency you h…",0,2823,FALSE
1.25564E+18,Wed Apr 29 23:37:54 +0000 2020,"RT @MediaPixArt: 👉Message to all humans, all nations, all religions.
👏Support the medical teams 😷by staying at home.
🙏Take care of the elde…",0,44,FALSE
1.25564E+18,Wed Apr 29 23:37:54 +0000 2020,"#Lockdowns and #StayAtHome orders have put stress on the global economy, resulting in anxiety for many people.

In… https://t.co/dWZt6KevW6",0,0,TRUE
1.25564E+18,Wed Apr 29 23:37:52 +0000 2020,"RT @WDIMpodcast: #WDIMPodcast Episode 86: Lighting Matches And Staying Healthy with @StepsamS of @InvasionRemake!

Promos: @Livestream4Cure…",0,7,FALSE
1.25564E+18,Wed Apr 29 23:37:48 +0000 2020,RT @SeanOnTV: Do you agree with @dougducey extending the #StayAtHome order + travel restrictions until May 15th? #azfamily #COVID19,0,7,FALSE
1.25564E+18,Wed Apr 29 23:37:34 +0000 2020,Saturday Night Silliness -- Random Musings of a Writer Lady and Her Cat.: Demon On The Loose… https://t.co/AK4plTU4TK,0,0,TRUE
